UNIT,EXERCISE,ENGLISH,KOREAN,ANSWER1,ANSWER2
1,7,Children develop faster when they have e__________ to diverse learning environments.,아이들은 다양한 학습 환경에 노출될 때 더 빠르게 발달한다.,exposure,
1,7,Some dogs show a__________ when they feel their territory is being threatened.,일부 개들은 자신의 영역이 위협받고 있다고 느낄 때 공격성을 보인다.,aggression,
1,8,D__________ behavior in the classroom prevents other students from learning.,교실에서의 방해 행동은 다른 학생들의 학습을 방해한다.,disruptive,
1,8,The coach gave a subtle c__________ to the player to change positions during the game.,코치는 경기 중 선수에게 위치를 바꾸라는 미묘한 신호를 주었다.,cue,
1,8,You need to c__________ harder on your studies if you want to pass the exam.,시험에 합격하고 싶다면 공부에 더 집중해야 한다.,concentrate,
1,9,The airport added more check-in counters for the c__________ of travelers.,공항은 여행자들의 편의를 위해 더 많은 체크인 카운터를 추가했다.,convenience,
1,9,The restaurant's p__________ increased dramatically after receiving a positive review.,그 식당은 긍정적인 리뷰를 받은 후 수익이 크게 증가했다.,profit,profits
1,9,Many doctors s__________ in treating specific types of medical conditions.,많은 의사들이 특정 유형의 의학적 상태를 치료하는 데 전문화되어 있다.,specialize,
1,10,The chef is s__________ the vegetables into thin strips for the stir-fry.,셰프는 볶음요리를 위해 채소를 가늘게 자르고 있다.,slicing,
1,10,Her r__________ to the surprise party was pure joy and excitement.,깜짝 파티에 대한 그녀의 반응은 순수한 기쁨과 흥분이었다.,reaction,
1,10,I can v__________ recall the moment when I first learned to ride a bicycle.,난 처음 자전거 타는 법을 배웠을 때의 순간을 생생하게 기억할 수 있다.,vividly,
1,11,Scientists identified several v__________ that might affect the experiment's outcome.,과학자들은 실험 결과에 영향을 미칠 수 있는 여러 변수를 확인했다.,variable,
1,11,The problem has ethical d__________ that must be carefully considered.,그 문제는 신중하게 고려해야 할 윤리적 차원이 있다.,dimensions,
1,11,Recognizing your own p__________ is the first step toward overcoming bias.,자신의 편견을 인식하는 것은 편향성을 극복하는 첫 번째 단계이다.,prejudice,
1,12,Never a__________ that someone is angry just because they are quiet.,누군가가 조용하다고 해서 화가 났다고 추정하지 마라.,assume,
1,12,Customer service representatives should be r__________ to complaints within 24 hours.,고객 서비스 담당자는 24시간 이내에 불만 사항에 대응해야 한다.,responsive,
1,12,The ongoing c__________ between the two departments is affecting company morale.,두 부서 간의 진행 중인 갈등이 회사 사기에 영향을 미치고 있다.,conflict,conflicts
2,1,The complex scientific theory was difficult to c__________ without proper background knowledge.,적절한 배경 지식 없이는 복잡한 과학 이론을 이해하기 어려웠다.,comprehend,
2,1,She became f__________ in Spanish after living in Madrid for five years.,그녀는 마드리드에서 5년 동안 살고 난 후 스페인어에 유창해졌다.,fluent,
2,1,The concert schedule o__________ with my final exams, so I cannot attend.,콘서트 일정이 기말고사와 겹쳐서 참석할 수 없다.,overlaps,
2,2,We need c__________ evidence before we can make any accusations.,우리가 어떤 비난을 하기 전에 구체적인 증거가 필요하다.,concrete,
2,2,Creating a monthly household b__________ helped us save money for vacation.,월별 가계 예산을 작성하는 것이 우리가 휴가를 위해 돈을 절약하는 데 도움이 되었다.,budget,budgets
2,2,Her daughter is considered a musical g__________ who mastered piano by age six.,그녀의 딸은 여섯 살에 피아노를 마스터한 음악적 천재로 여겨진다.,genius,
2,3,Some companies e__________ natural resources without considering environmental impact.,일부 기업들은 환경적 영향을 고려하지 않고 천연 자원을 이용한다.,exploit,
2,3,The engineering team d__________ a new method to reduce manufacturing costs.,엔지니어링 팀은 제조 비용을 줄이기 위한 새로운 방법을 고안했다.,devised,
2,3,Geologists discovered rich d__________ of minerals in the mountain range.,지질학자들은 산맥에서 풍부한 광물 퇴적층을 발견했다.,deposits,
2,4,The accident caused m__________ injuries requiring immediate medical attention.,사고로 즉각적인 의료 조치가 필요한 다중 부상이 발생했다.,multiple,many
2,4,This information has no r__________ to our current discussion.,이 정보는 우리의 현재 논의와 관련이 없다.,relevance,
2,4,Reducing operational costs is essential for improving business p__________.,운영 비용을 줄이는 것은 사업 수익성을 향상시키는 데 필수적이다.,profitability,
2,5,Rapid u__________ has transformed many rural areas into crowded cities.,급속한 도시화는 많은 농촌 지역을 혼잡한 도시로 변화시켰다.,urbanization,
2,5,The garden is e__________ by a beautiful stone wall for privacy.,그 정원은 사생활 보호를 위해 아름다운 돌담으로 둘러싸여 있다.,enclosed,
2,5,Electric vehicles are becoming a viable s__________ for gasoline-powered cars.,전기 자동차는 가솔린 자동차의 실용적인 대체재가 되고 있다.,substitute,
2,6,Daily practice helps to r__________ the skills learned in class.,매일 연습은 수업에서 배운 기술을 강화하는 데 도움이 된다.,reinforce,
2,6,Her t__________ knee injury prevented her from participating in the marathon.,그녀의 골치 아픈 무릎 부상으로 마라톤에 참가할 수 없었다.,troublesome,
2,6,Understanding your w__________ can help you grow both personally and professionally.,자신의 약점을 이해하는 것은 개인적으로나 직업적으로 성장하는 데 도움이 될 수 있다.,weaknesses,
2,7,Stories about our a__________ are passed down through generations to preserve family history.,우리 조상에 관한 이야기는 가족 역사를 보존하기 위해 세대를 거쳐 전해진다.,ancestor,ancestors
2,7,Mozart c__________ his first symphony when he was just eight years old.,모차르트는 겨우 여덟 살 때 첫 번째 교향곡을 작곡했다.,composed,
2,7,The advertisement was m__________ about the product's effectiveness in treating the condition.,그 광고는 상태 치료에 대한 제품의 효과에 대해 오해의 소지가 있었다.,misleading,
2,8,The scholarship application will be evaluated based on several c__________.,장학금 신청서는 여러 기준에 따라 평가될 것이다.,criteria,
2,8,You should p__________ for emergencies by keeping essential supplies at home.,필수 물품을 집에 보관하여 비상사태에 대비해야 한다.,prepare,
2,8,The unexpected question p__________ him to reconsider his position on the issue.,예상치 못한 질문은 그가 그 문제에 대한 자신의 입장을 재고하도록 촉구했다.,prompted,prompts
2,9,The local economy f__________ after the new factory opened, creating many jobs.,새 공장이 문을 열어 많은 일자리를 창출한 후 지역 경제가 번창했다.,flourished,
2,9,The company plans to c__________ a new headquarters in the downtown area.,그 회사는 시내 지역에 새로운 본사를 건설할 계획이다.,construct,
2,9,Reducing energy c__________ is an important part of fighting climate change.,에너지 소비를 줄이는 것은 기후 변화에 대응하는 중요한 부분이다.,consumption,
2,10,The foundation will g__________ funds to support educational programs in underserved communities.,재단은 소외된 지역사회의 교육 프로그램을 지원하기 위한 자금을 지원할 것이다.,grant,
2,10,As a technology p__________, the company introduced many innovative products to the market.,기술 선구자로서 그 회사는 많은 혁신적인 제품을 시장에 소개했다.,pioneer,pioneers
2,10,The manager must a__________ resources effectively to complete the project on time.,관리자는 프로젝트를 제시간에 완료하기 위해 자원을 효과적으로 할당해야 한다.,allocate,
2,11,Regular t__________ sessions helped her recover from the sports injury completely.,정기적인 치료 세션은 그녀가 스포츠 부상에서 완전히 회복하는 데 도움이 되었다.,therapy,
2,11,She had to a__________ that her original plan would not work and needed revision.,그녀는 원래 계획이 작동하지 않을 것이며 수정이 필요하다는 것을 인정해야 했다.,accept,
2,11,The new advertising campaign had a positive e__________ on company sales figures.,새로운 광고 캠페인은 회사 매출 수치에 긍정적인 영향을 미쳤다.,effect,
2,12,Students must e__________ good grades through hard work and dedication.,학생들은 열심히 공부하고 헌신함으로써 좋은 성적을 얻어야 한다.,earn,
2,12,The new design must s__________ all safety requirements before production can begin.,새로운 디자인은 생산이 시작되기 전에 모든 안전 요구 사항을 충족해야 한다.,satisfy,
2,12,I__________ in technology has transformed how we communicate and work.,기술 혁신은 우리가 소통하고 일하는 방식을 변화시켰다.,Innovation,innovation
5,1,International c__________ is essential for addressing global environmental challenges.,국제적 협력은 전 세계적인 환경 문제를 해결하는 데 필수적이다.,Cooperation,cooperation
5,1,Questions of m__________ often arise when discussing controversial ethical issues.,논쟁이 많은 윤리적 문제를 논의할 때 도덕성에 관한 질문이 종종 제기된다.,morality,
5,1,The campaign aims to p__________ healthy lifestyle choices among young people.,그 캠페인은 젊은이들 사이에서 건강한 생활 방식 선택을 촉진하는 것을 목표로 한다.,promote,
5,2,Scientists should not g__________ findings from a small sample to the entire population.,과학자들은 작은 표본의 결과를 전체 인구에 일반화해서는 안 된다.,generalize,
5,2,Q__________ research provides numerical data that can be analyzed statistically.,정량적 연구는 통계적으로 분석될 수 있는 수치 데이터를 제공한다.,quantitative,
5,2,Minor a__________ to your exercise routine can lead to significant improvements over time.,운동 루틴에 대한 작은 조정은 시간이 지남에 따라 상당한 개선으로 이어질 수 있다.,adjustment,
5,3,She tried to j__________ her absence from work by citing family emergencies.,그녀는 가족 비상사태를 언급하여 직장에서의 부재를 정당화하려고 했다.,justify,
5,3,The d__________ species in this ecosystem helps maintain the balance of the food chain.,이 생태계에서 우세한 종은 먹이 사슬의 균형을 유지하는 데 도움이 된다.,dominant,
5,3,Truth will eventually p__________ over lies, even if it takes time.,진실은 시간이 걸리더라도 결국 거짓을 이길 것이다.,prevail,
5,4,I__________ families often preserve their cultural traditions while adapting to their new country.,이민자 가족들은 종종 새로운 나라에 적응하면서도 자신들의 문화적 전통을 보존한다.,immigrant,
5,4,Many young people have a__________ of making positive changes in their communities.,많은 젊은이들은 그들의 지역 사회에 긍정적인 변화를 만들고자 하는 열망을 가지고 있다.,aspiration,aspirations
5,4,Children i__________ the values and behaviors they observe from important adults in their lives.,어린이들은 그들의 삶에서 중요한 어른들로부터 관찰하는 가치와 행동을 내면화한다.,internalize,
5,5,The research paper was e__________ and covered multiple aspects of the topic.,그 연구 논문은 광범위하고 주제의 여러 측면을 다루었다.,extensive,
5,5,With proper preparation, you can approach challenges with c__________ in your abilities.,적절한 준비를 통해 자신의 능력에 대한 자신감을 가지고 도전에 임할 수 있다.,confidence,
5,5,Efforts to d__________ pollution levels have shown positive results in many cities.,오염 수준을 줄이기 위한 노력은 많은 도시에서 긍정적인 결과를 보여주었다.,decrease,
5,6,The o__________ of the negotiations will affect international relations for years to come.,협상의 결과는 앞으로 몇 년 동안 국제 관계에 영향을 미칠 것이다.,outcome,
5,6,Temperatures in the desert can v__________ dramatically between day and night.,사막의 기온은 낮과 밤 사이에 크게 달라질 수 있다.,vary,
5,6,Regular practice led to steady i__________ in her musical performance.,정기적인 연습은 그녀의 음악 연주에 꾸준한 향상을 가져왔다.,improvement,
5,7,G__________ evidence suggests this area was once covered by an ancient sea.,지질학적 증거는 이 지역이 한때 고대 바다로 덮여 있었음을 시사한다.,geological,
5,7,A large portion of the world's population r__________ in coastal regions.,세계 인구의 상당 부분이 해안 지역에 거주한다.,resides,
5,7,The i__________ heat of the summer caused many people to seek shelter in cooling centers.,여름의 강렬한 열기로 많은 사람들이 냉방 시설에서 피난처를 찾았다.,intense,
5,8,Scientists must be able to r__________ their experimental results for them to be considered valid.,과학자들은 그들의 실험 결과가 타당하다고 간주되기 위해 그것을 재현할 수 있어야 한다.,replicate,
5,8,The student delivered an impressive o__________ presentation without using any notes.,그 학생은 어떤 메모도 사용하지 않고 인상적인 구두 발표를 했다.,oral,
5,8,The t__________ of knowledge from teacher to student is the foundation of education.,교사에서 학생으로의 지식 전달은 교육의 기초이다.,transmission,
5,9,Social media p__________ connect people across vast distances and cultural boundaries.,소셜 미디어 플랫폼은 광범위한 거리와 문화적 경계를 넘어 사람들을 연결한다.,platform,
5,9,Additional tests are needed to d__________ the cause of these unusual symptoms.,이러한 특이한 증상의 원인을 확인하기 위해 추가 검사가 필요하다.,determine,
5,9,Blood must c__________ throughout the body to deliver oxygen to all cells.,혈액은 모든 세포에 산소를 전달하기 위해 몸 전체에서 순환해야 한다.,circulate,
5,10,The company conducted a p__________ analysis to evaluate potential market opportunities.,그 회사는 잠재적 시장 기회를 평가하기 위해 전망적 분석을 실시했다.,prospective,
5,10,Challenging puzzles can help maintain c__________ functions as we age.,도전적인 퍼즐은 나이가 들어감에 따라 인지 기능을 유지하는 데 도움이 될 수 있다.,cognitive,
5,10,Many bird species m__________ thousands of miles every year in search of suitable habitats.,많은 조류 종이 적합한 서식지를 찾아 매년 수천 마일을 이동한다.,migrate,
5,11,Plants require specific n__________ from the soil to grow properly and remain healthy.,식물은 적절하게 성장하고 건강을 유지하기 위해 토양으로부터 특정 영양소가 필요하다.,nutrients,
5,11,The v__________ universe contains billions of galaxies, each with billions of stars.,방대한 우주는 각각 수십억 개의 별을 가진 수십억 개의 은하를 포함하고 있다.,vast,
5,11,Human activities can cause ecological d__________ that affects wildlife populations.,인간 활동은 야생 동물 개체수에 영향을 미치는 생태적 교란을 일으킬 수 있다.,disturbance,
5,12,Artists m__________ clay into beautiful sculptures that express human emotions.,예술가들은 점토를 인간의 감정을 표현하는 아름다운 조각품으로 빚어낸다.,mold,
5,12,C__________ wisdom suggests that breakfast is the most important meal of the day.,전통적인 지혜는 아침 식사가 하루 중 가장 중요한 식사라고 제안한다.,conventional,
5,12,The scientist spent hours o__________ the behavior of cells under the microscope.,그 과학자는 현미경 아래에서 세포의 행동을 관찰하면서 수 시간을 보냈다.,observing,
9,1,The pilot must know how to o__________ all aircraft systems in emergency situations.,조종사는 비상 상황에서 모든 항공기 시스템을 작동하는 방법을 알아야 한다.,operate,
9,1,Biologists use DNA testing to i__________ rare species in the wild.,생물학자들은 야생에서 희귀 종을 식별하기 위해 DNA 검사를 사용한다.,identify,
9,1,The chef demands c__________ attention to detail when preparing the signature dish.,그 요리사는 시그니처 요리를 준비할 때 세부 사항에 대한 완전한 주의를 요구한다.,complete,
9,2,A sense of fairness is i__________ in most young children from an early age.,공정성에 대한 감각은 대부분의 어린이들에게 어린 나이부터 내재되어 있다.,inherent,
9,2,The company operates on the p__________ that customer satisfaction comes first.,그 회사는 고객 만족이 최우선이라는 원칙에 따라 운영된다.,principle,
9,2,Every student is e__________ to receive educational support regardless of their background.,모든 학생은 그들의 배경에 상관없이 교육적 지원을 받을 자격이 있다.,entitled,
9,3,Daily physical activity provides numerous health b__________ for people of all ages.,매일의 신체 활동은 모든 연령대의 사람들에게 수많은 건강상의 이점을 제공한다.,benefits,
9,3,The pharmaceutical company conducts extensive r__________ before releasing new medications.,제약 회사는 새로운 약을 출시하기 전에 광범위한 연구를 수행한다.,research,
9,3,Books offer valuable c__________ during long journeys or quiet evenings alone.,책은 긴 여행이나 혼자 보내는 조용한 저녁 시간에 귀중한 동반자 관계를 제공한다.,companionship,
9,4,The school's p__________ requires all students to wear uniforms during class hours.,학교의 정책은 모든 학생들이 수업 시간 동안 교복을 입도록 요구한다.,policy,
9,4,P__________ thinking can help athletes overcome setbacks and improve performance.,긍정적인 사고는 운동선수들이 좌절을 극복하고 성과를 향상시키는 데 도움이 될 수 있다.,Positive,positive
9,4,Natural p__________ like aurora borealis attract tourists to northern regions.,북극광과 같은 자연 현상은 북부 지역으로 관광객들을 끌어들인다.,phenomena,
9,5-6,Parents' behaviors strongly i__________ their children's attitudes toward education.,부모의 행동은 자녀들의 교육에 대한 태도에 강하게 영향을 미친다.,influence,
9,5-6,The chef spent years trying to r__________ the traditional recipe for the perfect taste.,그 요리사는 완벽한 맛을 위해 전통 조리법을 다듬는 데 수년을 보냈다.,refine,
9,5-6,The author celebrated the r__________ of her bestselling novel with a book signing tour.,그 작가는 베스트셀러 소설의 출간을 책 사인회 투어로 축하했다.,release,
9,7,In this essay, you should c__________ rural and urban lifestyles in modern society.,이 에세이에서는 현대 사회의 농촌과 도시 생활 방식을 대조해야 한다.,contrast,
9,7,Every i__________ responds differently to medication, which is why personalized treatment is important.,모든 개인은 약물에 다르게 반응하기 때문에 맞춤형 치료가 중요하다.,individual,
9,7,The gallery features c__________ sculptures made from recycled materials.,그 갤러리는 재활용 재료로 만든 현대 조각품을 전시하고 있다.,contemporary,
9,8,It is u__________ that the endangered species will recover without human intervention.,인간의 개입 없이 그 멸종 위기 종이 회복될 가능성은 낮다.,unlikely,
9,8,The o__________ of the peace negotiations will affect international relations for decades.,평화 협상의 결과는 수십 년 동안 국제 관계에 영향을 미칠 것이다.,outcome,
9,8,The coach gave the athletes a r__________ training schedule that balanced intensity with rest.,코치는 강도와 휴식의 균형을 맞춘 합리적인 훈련 일정을 선수들에게 제공했다.,reasonable,
9,9,The children felt d__________ when the outdoor trip was canceled due to bad weather.,아이들은 나쁜 날씨로 야외 여행이 취소되었을 때 실망감을 느꼈다.,disappointment,
9,9,This bridge has been built to function r__________ even during earthquakes and floods.,이 다리는 지진과 홍수 중에도 안정적으로 기능하도록 건설되었다.,reliably,
9,9,Adaptability is key to the s__________ of businesses in rapidly changing markets.,적응력은 빠르게 변화하는 시장에서 기업의 생존에 핵심이다.,survival,
9,10,Experts are working to d__________ the cause of the historical building's structural damage.,전문가들은 역사적 건물의 구조적 손상 원인을 파악하기 위해 노력하고 있다.,determine,
9,10,The actor's s__________ facial expressions conveyed complex emotions without any dialogue.,그 배우의 미묘한 표정은 대사 없이도 복잡한 감정을 전달했다.,subtle,
9,10,It takes practice to d__________ between different varieties of wine based on taste alone.,맛만으로 다양한 종류의 와인을 구별하는 데는 연습이 필요하다.,distinguish,
9,11-12,The volunteers showed great p__________ for the victims of the natural disaster.,자원봉사자들은 자연재해 피해자들에게 큰 연민을 보였다.,pity,
9,11-12,Many historical buildings have r__________ significance beyond their architectural value.,많은 역사적 건물들은 건축적 가치를 넘어 종교적 중요성을 지니고 있다.,religious,
9,11-12,Your a__________ during job interviews can significantly impact hiring decisions.,취업 면접 중의 당신의 태도는 채용 결정에 상당한 영향을 미칠 수 있다.,attitude,
