UNIT,EXERCISE,ENGLISH,KOREAN,ANSWER1,ANSWER2,WORD,TRANS
2,4,Efficient processes need to be introduced to increase p__________.,수익성을 높이기 위해 효율적인 프로세스를 도입해야 한다.,profitability,,profitable,수익성 있는
2,5,The rate of u__________ is the challenge facing cities of the future.,도시화 속도는 미래 도시가 직면한 난제이다.,urbanization,,urbanize,도시화하다
2,5,His yard is e__________ with iron railings.,그의 마당은 철제 울타리로 둘러싸여 있다.,enclosed,,enclose,둘러싸다
2,5,Many countries have to find s__________s for coal to protect the earth.,많은 국가들이 지구를 보호하기 위해 석탄의 대체제를 찾아야 한다.,substitute,,substitute,대체하다
2,6,Such jokes tend to r__________ harmful stereotypes.,그런 농담은 해로운 고정관념을 강화하는 경향이 있다.,reinforce,,reinforce,강화하다
2,6,She needed surgery to cure a t__________ foot injury.,그녀는 고질적인 발 부상을 치료할 수술이 필요했다.,troublesome,,troublesome,골치 아픈
2,6,It's important to know your own strengths and w__________.,자신의 강점과 약점을 아는 것이 중요하다.,weaknesses,,weakness,약점
2,7,"Many generations ago, my a__________ arrived in these lands, leaving behind a legacy of courage and adventure. ","어려 세대 전, 나의 조상(들)은 이 땅에 도착하여 용기와 모험이라는 유산을 남겼다.",ancestor,ancestors,ancestor,조상
2,7,The pianist c__________ a famous piece of music that is still celebrated today.,그 피아니스트는 오늘날 여전히 찬미되는 유명한 음악 작품을 작곡했다.,composed,,compose,작곡하다
2,7,"The headline was m__________, giving a false impression of what the article was about.","그 헤드라인은 오해의 소지가 있어, 기사의 내용에 대한 잘못된 인상을 주었다.",misleading,,mislead,오도하다
2,8,The job applicants were evaluated based on strict c__________.,그 취업 지원자들은 엄격한 기준에 근거하여 평가되었다.,criteria,,criterion,기준
2,8,They began to p__________ for the storm by securing their homes.,그들은 집을 단단히 고정하여 폭풍에 대비하기 시작했다.,prepare,,prepare,준비하다
2,8,The news about the company p__________ him to return to the office immediately.,그 회사에 대한 뉴스는 그가 즉시 사무실로 돌아가도록 했다[한다].,prompted,prompts,prompt,촉발하다
2,9,"In the Renaissance era, art f__________, giving rise to some celebrated masterpieces.",르네상스 시대에는 예술이 번성하여 몇몇 유명한 걸작들이 탄생했다.,flourished,,flourish,번창하다
2,9,Engineers worked tirelessly to c__________ the new bridge.,엔지니어들은 새로운 다리를 건설하기 위해 끊임없이 노력했다.,construct,,construct,건설하다
2,9,The policies aimed at reducing energy c__________ have led to environmental benefits.,에너지 소비 감축을 목표로 한 정책들은 환경과 관련된 이익으로 이어졌다.,consumption,,consume,소비하다
2,10,The charity decided to g__________ money for disaster relief efforts.,그 자선 단체는 재난 구호 활동을 위한 자금을 지급하기로 결정했다.,grant,,grant,지급하다
2,10,The p__________ faced numerous challenges while settling the new territory.,그 개척자는 새로운 영토에 정착하는 동안 많은 어려움에 직면했다.,pioneer,pioneers,pioneer,개척자
2,10,The manager must a__________ tasks efficiently to meet the deadline.,관리자는 기한을 맞추기 위해 업무를 효율적으로 할당해야 한다.,allocate,,allocate,할당하다
2,11,"After his injury, he attended physical t__________ sessions twice a week.",부상 후 그는 일주일에 두 번 물리 치료 활동에 참석했다.,therapy,,therapy,치료
2,11,"She decided to a__________ the job offer, excited about the new opportunities.",그녀는 새로운 기회에 흥분하여 그 일자리 제의를 수락하기로 결정했다.,accept,,accept,수락하다
2,11,The new advertising campaign had an immediate e__________ on sales.,새로운 광고 캠페인은 판매에 즉각적인 영향을 미쳤다.,effect,,effect,영향
2,12,"By delivering high-quality work, he managed to e__________ a promotion.",그는 우수한 작업 결과를 내놓음으로써 간신히 승진할 수 있었다.,earn,,earn,얻다
2,12,"To s__________ the safety regulations, the manufacturer upgraded their equipment. ",안전 규정을 충족시키기 위해 그 제조업체는 장비를 업그레이드했다.,satisfy,,satisfy,만족시키다
2,12,I__________ drives industries to evolve and adapt to new challenges.,혁신은 산업이 발전하여 새로운 도전에 적응하도록 이끈다.,Innovation,innovation,innovate,혁신하다
5,1,C__________ between countries helps share food and supplies to fight world hunger.,국가 간 협동은 세계 기아와 싸우기 위해 음식과 물자를 나누는 데 도움이 된다.,Cooperation,cooperation,cooperate,협력하다
5,1,His decision to return the lost wallet showed his strong sense of m__________,잃어버린 지갑을 돌려주기로 한 그의 결정은 그의 강한 도덕성을 보여주었다.,morality,,morality,도덕성
5,1,The organization led a campaign to p__________ awareness of environmental issues.,그 단체는 환경 문제에 대한 인식을 촉진하기 위한 캠페인을 주도했다.,promote,,promote,촉진하다
5,2,Do not g__________ one person's experience to everyone.,한 사람의 경험을 모두에게 일반화하지 마라.,generalize,,generalize,일반화하다
5,2,"In engineering, q__________ data is used to make precise measurements and calculations.",공학에서의 정확한 측정과 계산을 위해 정량적 데이터가 이용된다.,quantitative,,quantitative,정량적인
5,2,An a__________ to the policy is required to deal with the issue better.,그 문제를 더 잘 다루기 위해서 정책에 대한 조정이 필요하다.,adjustment,,adjust,조정하다
5,3,She tried to j__________ her actions by explaining the circumstances that led to her decision.,그녀는 자신의 결정에 이르게 된 상황을 설명함으로써 자신의 행동을 정당화하려고 노력했다.,justify,,justify,정당화하다
5,3,The lion is the d__________ animal in the African savanna.,사자는 아프리카 대초원에서 우세한 동물이다.,dominant,,dominant,우세한
5,3,"During challenging times, it's important to believe that goodness will p__________.",어려운 시기에는 선이 우세할 것이라고 믿는 것이 중요하다.,prevail,,prevail,우세하다
5,4,Many i__________ families face unique challenges as they adjust to life in a new country.,많은 이민자 가족은 새로운 나라에서의 생활에 적응하면서 고유한 어려움에 직면한다.,immigrant,,immigrant,이민자
5,4,The young athlete has had a__________ of competing in the Olympics since she was a child.,그 젊은 선수는 어렸을 때부터 올림픽에 출전하고 싶다는 열망을 가지고 있었다.,aspiration,aspirations,aspire,열망하다
5,4,Children often i__________ the values and behaviors they observe from their parents.,아이들은 흔히 부모로부터 관찰하는 가치와 행동을 내면화한다.,internalize,,internalize,내면화하다
5,5,Her research was so e__________ that it covered many different areas.,그녀의 연구는 매우 광범위해서 여러 다른 분야를 다뤘다.,extensive,,extensive,광범위한
5,5,She approached the job interview with c__________ because she had prepared thoroughly.,철저히 준비했기 때문에 그녀는 자신감을 가지고 입사 면접에 임했다.,confidence,,confidence,자신감
5,5,Regular exercise can help d__________ the risk of heart disease.,규칙적인 운동은 심장 질환의 위험을 줄이는 데 도움이 될 수 있다.,decrease,,decrease,감소시키다
5,6,The o__________ of today's election will be announced tomorrow morning.,오늘 선거의 결과는 내일 오전에 발표될 것이다.,outcome,,outcome,결과
5,6,The temperature can v__________ greatly between day and night in the desert.,사막에서는 낮과 밤의 기온이 크게 다를 수 있다.,vary,,vary,변화하다
5,6,His performance on the test showed a clear i__________ from last time.,그의 시험 성적은 지난번보다 확실한 향상을 보였다.,improvement,,improve,향상시키다
5,7,The g__________ formations in this region provide valuable insights into Earth's history.,이 지역의 지층은 지구의 역사에 대한 귀중한 통찰을 제공한다.,geological,,geological,지질학적인
5,7,The majority of the country's population r__________ in urban areas.,그 나라 인구의 대부분은 도시 지역에 거주한다.,resides,,reside,거주하다
5,7,The i__________ heat wave caused widespread power outages across the nation.,강렬한 폭염은 전국적으로 광범위한 정전 사태를 일으켰다.,intense,,intense,강렬한
5,8,Scientists struggled to r__________ the experiment's results in a different laboratory.,과학자들은 다른 실험실에서 실험 결과를 재현하는 데 어려움을 겪었다.,replicate,,replicate,재현하다
5,8,"During the conference, she gave an impressive o__________ presentation on the impact of climate change on marine ecosystems.",그 회의 중에 그녀는 기후 변화가 해양 생태계에 미치는 영향에 대해 인상적인 구두 발표를 했다.,oral,,oral,구두의
5,8,The t__________ of cultural traditions from one generation to the next ensures their preservation.,한 세대에서 다음 세대로의 문화적 전통의 전수는 그것의 보존을 보장한다.,transmission,,transmit,전달하다
5,9,The new online p__________ facilitated discussions on various topics among users.,새로운 온라인 플랫폼은 사용자들 간의 다양한 주제에 대한 토론을 촉진했다.,platform,,platform,플랫폼
5,9,Further tests are needed to d__________ the exact cause of the patient's illness.,그 환자의 질병에 대한 정확한 원인을 알아내기 위해 추가 검사가 필요하다.,determine,,determine,결정하다
5,9,The central bank is going to c__________ more money to stimulate the economy.,중앙은행은 경제를 활성화하기 위해 더 많은 돈을 유통할 예정이다.,circulate,,circulate,유통시키다
5,10,The young athlete's training program is a p__________ indicator of her future success in the competition.,그 젊은 운동선수의 훈련 프로그램은 그녀의 미래의 대회 성공을 예측하는 지표이다.,prospective,,prospective,예상되는
5,10,Regular exercise has been shown to enhance c__________ function and improve memory.,규칙적인 운동은 인지 기능을 향상시키고 기억력을 개선하는 것으로 밝혀졌다.,cognitive,,cognitive,인지적인
5,10,"Every winter, monarch butterflies m__________ thousands of miles to warmer climates.","매년 겨울, 제왕나비는 더 따뜻한 기후의 지역으로 수천 마일을 이동한다.",migrate,,migrate,이동하다
5,11,"The soil lacked essential n__________, hindering the plant's growth.",토양에 필수 영양소가 부족하여 식물의 성장이 저해되었다.,nutrients,,nutrients,영양소
5,11,"The ocean was v__________, stretching far and wide with no end in sight.","대양은 방대했고, 끝이 보이지 않게 넓게 펼쳐져 있었다.",vast,,vast,광대한
5,11,"Ecological d__________ can disturb delicate ecosystems, leading to significant ecological imbalances.",생태 교란은 섬세한 생태계를 파괴하여 상당한 생태적 불균형으로 이어질 수 있다.,disturbance,,disturbance,교란
5,12,The sculptor's hands can m__________ the clay into a breathtakingly lifelike figure.,그 조각가의 능숙한 손은 점토를 깜짝 놀랄 만큼 생생한 형상으로 빚어낼 수 있다.,mold,,mold,빚다
5,12,The company decided to stick with c__________ methods rather than experimenting with new approaches.,그 회사는 새로운 접근 방식을 실험하기보다는 전통적인 방법을 고수하기로 결정했다.,conventional,,conventional,전통적인
5,12,The little girl was o__________ a butterfly flying from flower to flower.,그 어린 소녀는 나비 하나가 꽃에서 꽃으로 날아다니는 것을 관찰하고 있었다.,observing,,observe,관찰하다
6,1,The nonprofit o__________ works to support underprivileged communities.,그 비영리 조직은 가난한 지역 사회를 지원하기 위해 일한다.,organization,,organization,조직
6,1,He finally a__________ his lifelong dream of becoming a published author.,그는 마침내 출판 작가가 되겠다는 평생의 꿈을 이루었다.,achieved,,achieve,이루다
6,1,His ability to m__________ the resources ensured the project was completed within the budget.,자원을 관리하는 그의 능력 덕분에 프로젝트가 예산 내에서 완료될 수 있었다.,manage,,manage,관리하다
6,2,He felt f__________ by his inability to solve the complex puzzle.,그는 복잡한 퍼즐을 풀지 못해 좌절감을 느꼈다.,frustrated,,frustrate,좌절시키다
6,2,The l__________ of the resort made it a popular destination for tourists.,리조트의 위치는 그것을 관광객들에게 인기 있는 여행지가 되게 하였다.,location,,location,위치
6,2,The parents were delighted as they watched their __________ take his first steps.,그 부모는 그들의 아기가 첫걸음을 내딛는 모습을 보며 기뻐했다.,infant,,infant,유아
6,3,Regular exercise can improve blood c__________.,규칙적인 운동은 혈액 순환을 개선할 수 있다.,circulation,,circulation,순환
6,3,Talented athletes c__________ in the international tournament.,재능 있는 선수들이 국제 대회에서 경쟁한다[경쟁했다].,compete,competed,compete,경쟁하다
6,3,The festival dates c__________ with the national holiday.,축제 날짜는 국경일과 일치한다[일치했다].,coincide,coincided,coincide,일치하다
6,4,The team received widespread a__________ for their hard work.,그 팀은 그들의 노력에 의해 널리 인정을 받았다.,appreciation,,appreciation,인정
6,4,The air was thick with m__________ after the rain.,비가 온 후 공기가 습기로 가득 찼다.,moisture,,moisture,습기
6,4,The s__________ of the lake was so clear that it perfectly reflected the surroundings.,호수의 표면이 너무 맑아서 주변을 완벽하게 비추었다.,surface,,surface,표면
6,5,The design has to appeal to all ages and s__________ groups.,그 디자인은 모든 연령대와 사회 집단에게 매력이 있어야 한다.,social,,social,사회적인
6,5,"Due to the lack of use, some languages have gradually c__________ to be spoken eventually.",사용 부족으로 인해 일부 언어는 결국에는 점차적으로 사용을 멈추게 되었다.,ceased,,cease,중단하다
6,5,Various c__________ in the region worked together to preserve their traditions.,그 지역의 다양한 공동체는 전통을 보존하기 위해 함께 노력했다.,communities,,community,공동체
6,6,The teacher's r__________ to the student's question helped clarify the lesson.,학생의 질문에 대한 선생님의 대답은 수업을 명확하게 하는 데 도움이 되었다.,response,,response,대답
6,6,"The traffic light turned green, giving the s__________ for the cars to start moving.",신호등이 녹색으로 변하면서 차들에게 움직이기 시작하라는 신호를 보냈다.,signal,,signal,신호
6,6,The i__________ of normal genes into the diseased cells could cure the disease.,정상 유전자를 병든 세포에 삽입하는 것이 그 병을 치료할 수 있을 것이다.,insertion,,insertion,삽입
6,7,Professors both teach and u__________ research.,교수들은 가르치면서 연구도 맡는다.,undertake,,undertake,맡다
6,7,You need to conduct the initial a__________ defining the scope of work.,여러분은 업무 범위를 정의하는 초기 평가를 수행해야 한다.,assessment,assessments,assessment,평가
6,7,We sensed his deep emotional d__________.,우리는 그의 깊은 정서적 고통을 감지했다.,distress,,distress,고통
6,8,Eating enough f__________ can help waste to move smoothly through the body.,충분한 섬유질을 섭취하면 노폐물이 몸을 원활하게 통과하는 데 도움이 될 수 있다.,fiber,,fiber,섬유질
6,8,Passing the test was such a b__________ to my confidence.,시험에 합격하고 나니 내 자신감이 정말 급상승했다.,boost,,boost,상승
6,8,This equipment was too t__________ to install.,이 장비는 설치하기가 너무 까다로웠다.,tricky,,tricky,까다로운
6,9,He had a sudden i__________ to stand up and dance.,그는 일어나서 춤을 추고 싶은 충동을 갑자기 느꼈다.,impulse,,impulse,충동
6,9,This video d__________ a clear message about water safety.,이 영상은 수상 안전에 대한 명확한 메시지를 전달한다[전달했다].,delivers,delivered,deliver,전달하다
6,9,The o__________ of finding a parking space are very low.,주차 공간을 찾을 확률이 매우 낮다.,odds,,odds,확률
6,10,A__________ measurements are essential for maintaining safety.,정확한 측정값은 안전을 유지하는 데 필수이다.,Accurate,accurate,accurate,정확한
6,10,A full a__________ of all that is involved is utterly beyond the scientists.,관련된 모든 것을 완전히 이해하는 것은 그 과학자들이 절대적으로 할 수 없는 것이다.,apprehension,,apprehension,이해
6,10,Language a__________ means the process of learning and understanding a language by a child or adult.,언어 습득은 어린이나 어른이 언어를 학습하고 이해하는 과정을 의미한다.,acquisition,,acquisition,습득
6,11,His new novel was an i__________ hit.,그의 새 소설은 즉각적인 큰 인기를 끌었다.,instant,,instant,즉각적인
6,11,An expensive jewelry is a t__________ to thieves.,값비싼 보석은 도둑에게 유혹물이다.,temptation,,temptation,유혹
6,11,It takes a lot of d__________ to stay away from snacks.,간식을 멀리하려면 많은 절제력이 필요하다.,discipline,,discipline,절제력
6,12,There is a good deal of u__________ about the exact path of the typhoon.,태풍의 정확한 경로에 대해서는 상당한 불확실성이 있다.,uncertainty,,uncertainty,불확실성
6,12,His most a__________ habit was eating with his mouth open.,그의 가장 짜증 나게 하는 습관은 입을 벌리고 먹는 것이었다.,annoying,,annoy,짜증나게 하다
6,12,X-rays have c__________ that she has not broken any bones.,엑스레이 검사에서 그녀의 뼈가 하나도 부러지지 않은 것으로 확인되었다.,confirmed,,confirm,확인하다
9,1,The remote control allows you to o__________ all the features of your TV.,리모컨을 사용하면 TV의 모든 기능을 작동할 수 있다.,operate,,operate,작동하다
9,1,Scientists work to i__________ new species in remote regions of the rainforest.,과학자들은 열대 우림의 외딴 지역에서 새로운 종들을 발견하고자 연구한다.,identify,,identify,식별하다
9,1,Refugees demanded c__________ freedom to do whatever they wanted.,난민들은 그들이 원하는 것은 무엇이든 할 수 있는 완전한 자유를 요구했다.,complete,,complete,완전한
9,2,The artist believed that creativity was i__________ in all individuals.,그 예술가는 창의성이 모든 개인에게 내재해 있다고 믿었다.,inherent,,inherent,내재하는
9,2,The p__________ of equality is fundamental to the legal system.,평등의 원칙은 법체계의 근간이다.,principle,,principle,원칙
9,2,"Every citizen is e__________ to basic human rights, regardless of their social status.",모든 시민은 그들의 사회적 지위에 상관없이 기본적 인권에 대한 자격이 있다.,entitled,,entitle,자격을 부여하다
9,3,"Regular exercise offers a multitude of b__________, including better mood regulation.",규칙적인 운동은 더 나은 기분 조절을 포함하여 많은 이점을 제공한다.,benefits,,benefit,이점
9,3,Scientists conduct r__________ to advance knowledge and solve problems.,과학자들은 지식을 발전시키고 문제를 해결하기 위해 연구를 수행한다.,research,,research,연구
9,3,Pets provide valuable c__________ to their owners.,반려동물은 주인에게 소중한 동반자 관계를 제공한다.,companionship,,companionship,동반자 관계
9,4,The p__________ requires all employees to undergo annual training on data privacy.,그 정책은 모든 직원이 매년 데이터 개인 정보 보호에 대한 교육을 받을 것을 요구한다.,policy,,policy,정책
9,4,P__________ thinking can lead to improved mental health and overall well-being.,긍정적인 사고는 정신 건강과 전반적인 행복의 개선으로 이어질 수있다.,Positive,positive,positive,긍정적인
9,4,"Scientists study various weather p__________, such as tornadoes and hurricanes.",과학자들은 토네이도와 허리케인과 같은 다양한 기상 현상을 연구한다.,phenomena,,phenomenon,현상
9,5-6,The decisions we take now may i__________ the course of events in the future.,우리가 지금 취하는 결정은 미래의 사건 흐름에 영향을 미칠 수도 있다.,influence,,influence,영향을 미치다
9,5-6,The chef continued to r__________ the recipe to achieve the perfect flavor balance.,그 주방장은 완벽한 맛의 균형을 이루기 위해 계속해서 조리법을 다듬었다.,refine,,refine,다듬다
9,5-6,"The company announced the r__________ of its latest product, generating excitement among",그 회사는 최신 제품의 출시를 발표하여 소비자들 사이에서 흥분을 불러일으켰다.,release,,release,출시
9,7,The study intends to c__________ urban and rural living conditions.,그 연구는 도시와 농촌의 생활 환경을 대조하고자 한다.,contrast,,contrast,대조하다
9,7,Each i__________ reacts differently to stress based on their unique circumstances.,각 개인은 각자의 고유한 환경에 따라 스트레스에 다르게 반응한다.,individual,,individual,개인
9,7,The c__________ art exhibit featured works by artists from around the world.,그 현대 미술 전시회에는 전 세계 예술가들의 작품이 특별 전시되었다.,contemporary,,contemporary,현대의
9,8,It is u__________ that the delicate flower will survive the harsh winter without protection.,그 연약한 꽃이 보호 없이 혹독한 겨울을 살아남을 가능성은 없다.,unlikely,,unlikely,가능성이 없는
9,8,The o__________ of the experiment will determine the next steps in the research process.,그 실험 결과에 따라 연구 과정의 다음 단계가 결정될 것이다.,outcome,,outcome,결과
9,8,She had a r__________ amount of time to complete the project before the deadline.,그녀는 마감일 전에 그 프로젝트를 완료할 수 있는 상당한 시간을 가졌다.,reasonable,,reasonable,상당한
9,9,The team's loss in the final game was a major d__________ to their fans.,결승전에서 그 팀의 패배는 팬들에게 큰 실망을 안겨 주었다.,disappointment,,disappointment,실망
9,9,The machine r__________ produces high-quality results.,그 기계는 고품질의 결과를 믿을 만하게 만들어 낸다.,reliably,,reliable,믿을 수 있는
9,9,Access to clean water is crucial for the s__________ of all living organisms.,깨끗한 물에 대한 접근은 모든 살아 있는 유기체의 생존에 필수적이다.,survival,,survival,생존
9,10,It can be difficult to d__________ the cause of a problem without thorough investigation.,철저한 조사 없이는 문제의 원인을 알아내기 어려울 수 있다.,determine,,determine,알아내다
9,10,There was a s__________ change in her tone that indicated she was upset.,그녀의 어조에 그녀가 화가 났음을 나타내는 미묘한 변화가 있었다.,subtle,,subtle,미묘한
9,10,It can be hard to d__________ between genuine and fake products.,진품과 가품을 구별하는 것은 어려울 수 있다.,distinguish,,distinguish,구별하다
9,11-12,It is important to feel p__________ for those who are suffering and to offer help whenever possible.,"고통받고 있는 사람들에 대해 연민을 느끼고, 가능할 때마다 도움을 주는 것이 중요하다.",pity,,pity,연민
9,11-12,"Even if your r__________ faith is strong, it's normal to feel doubt.","종교적 믿음이 강하더라도, 의심을 느끼는 것은 정상이다.",religious,,religious,종교적인
9,11-12,The company's positive a__________ towards innovation has led to many successful products.,혁신에 대한 그 회사의 긍정적인 태도는 많은 성공적인 제품으로 이어졌다.,attitude,,attitude,태도
10,1,The sudden i__________ of the village by the enemies surprised everyone.,적이 마을로 급작스럽게 침입하여 모두를 놀라게 했다.,invasion,,invasion,침입
10,1,The city hosted a m__________ festival that attracted thousands of people from all over the country.,그 도시는 전국 각지에서 수천 명의 사람들이 모인 대규모 축제를 개최했다.,massive,,massive,대규모의
10,1,The trees can s__________ the animals from harsh winds and heavy rain.,그 나무들은 동물들을 강한 바람과 많은 비로부터 보호할 수 있다.,shield,,shield,보호하다
10,2,The logo's design has a strong a__________ to the company's brand identity.,그 로고의 디자인은 그 회사의 브랜드 정체성과 강한 연관을 가지고 있다.,association,,association,연관
10,2,This cycling program provides necessary e__________ such as bikes and helmets.,이 사이클링 프로그램은 자전거와 헬멧과 같은 필요 장비를 제공한다.,equipment,,equipment,장비
10,2,The a__________ trains every morning to prepare for the big race.,그 운동선수는 큰 경주를 준비하기 위해 매일 아침 훈련한다.,athlete,,athlete,운동선수
10,3,"Simply put, p__________ is the possibility of an event happening expressed in numbers.","간단히 말해서, 확률은 어떤 사건이 발생할 가능성을 숫자로 표현한 것이다.",probability,,probability,확률
